,name,geom,key,value
284,,POINT (-49.2627145 -25.4495925),highway,traffic_signals
285,,POINT (-49.2629328 -25.4496808),highway,traffic_signals
286,,POINT (-49.266022 -25.4522887),highway,traffic_signals
287,,POINT (-49.2685847 -25.4469167),highway,traffic_signals
288,,POINT (-49.2698888 -25.4441854),highway,traffic_signals
289,,POINT (-49.2712663 -25.4412373),highway,traffic_signals
290,,POINT (-49.2719523 -25.439748),highway,traffic_signals
291,,POINT (-49.2720213 -25.4396008),highway,traffic_signals
292,,POINT (-49.2550082 -25.4699671),highway,traffic_signals
293,,POINT (-49.2889871 -25.4770178),highway,traffic_signals
294,,POINT (-49.289053 -25.4771991),highway,traffic_signals
295,,POINT (-49.2554661 -25.4705519),highway,traffic_signals
296,,POINT (-49.2706427 -25.4965049),highway,traffic_signals
297,,POINT (-49.2421583 -25.531791),highway,traffic_signals
298,,POINT (-49.2478783 -25.5293043),highway,traffic_signals
299,,POINT (-49.2917384 -25.4889829),highway,traffic_signals
300,,POINT (-49.2914242 -25.4889412),highway,traffic_signals
301,,POINT (-49.2898272 -25.4922158),highway,traffic_signals
302,,POINT (-49.2923194 -25.4949533),highway,traffic_signals
303,,POINT (-49.2938394 -25.4942907),highway,traffic_signals
304,,POINT (-49.254243 -25.4358492),highway,traffic_signals
305,,POINT (-49.2541223 -25.4355499),highway,traffic_signals
306,,POINT (-49.3101671 -25.4343913),highway,traffic_signals
307,,POINT (-49.2698895 -25.4226585),highway,traffic_signals
308,,POINT (-49.2503944 -25.4080471),highway,traffic_signals
309,,POINT (-49.2336152 -25.3845335),highway,traffic_signals
310,,POINT (-49.2943011 -25.4712832),highway,traffic_signals
311,,POINT (-49.2285081 -25.5173079),highway,traffic_signals
312,,POINT (-49.2320739 -25.5099684),highway,traffic_signals
313,,POINT (-49.2392408 -25.4953044),highway,traffic_signals
314,,POINT (-49.2470003 -25.4794357),highway,traffic_signals
315,,POINT (-49.2502338 -25.4041038),highway,traffic_signals
316,,POINT (-49.2490685 -25.4028476),highway,traffic_signals
317,,POINT (-49.246854 -25.4004588),highway,traffic_signals
318,,POINT (-49.246069 -25.4010592),highway,traffic_signals
319,,POINT (-49.2428882 -25.401958),highway,traffic_signals
320,,POINT (-49.2325066 -25.384677),highway,traffic_signals
321,,POINT (-49.2503791 -25.4039874),highway,traffic_signals
322,,POINT (-49.3295842 -25.4016539),highway,traffic_signals
323,,POINT (-49.3459034 -25.4403727),highway,traffic_signals
324,,POINT (-49.3341346 -25.3996369),highway,traffic_signals
325,,POINT (-49.3344395 -25.4007595),highway,traffic_signals
326,,POINT (-49.334718 -25.402929),highway,traffic_signals
327,,POINT (-49.3483584 -25.4190237),highway,traffic_signals
328,,POINT (-49.3536276 -25.4297103),highway,traffic_signals
329,,POINT (-49.3531474 -25.4308544),highway,traffic_signals
330,,POINT (-49.2891839 -25.4337748),highway,traffic_signals
331,,POINT (-49.2926221 -25.4315019),highway,traffic_signals
332,,POINT (-49.2905712 -25.430685),highway,traffic_signals
333,,POINT (-49.2893992 -25.430234),highway,traffic_signals
334,,POINT (-49.2879626 -25.433295),highway,traffic_signals
335,,POINT (-49.2867283 -25.4328365),highway,traffic_signals
336,,POINT (-49.2881856 -25.4297515),highway,traffic_signals
337,,POINT (-49.2916416 -25.4334289),highway,traffic_signals
338,,POINT (-49.292067 -25.4326263),highway,traffic_signals
339,,POINT (-49.2832235 -25.4315313),highway,traffic_signals
340,,POINT (-49.2780367 -25.4296709),highway,traffic_signals
341,,POINT (-49.2738101 -25.4264167),highway,traffic_signals
342,,POINT (-49.2734265 -25.4264828),highway,traffic_signals
343,,POINT (-49.2717771 -25.426787),highway,traffic_signals
344,,POINT (-49.2751098 -25.4251523),highway,traffic_signals
345,,POINT (-49.2764273 -25.4248928),highway,traffic_signals
346,,POINT (-49.2739485 -25.4253814),highway,traffic_signals
347,,POINT (-49.2694677 -25.4272221),highway,traffic_signals
348,,POINT (-49.269339 -25.428748),highway,traffic_signals
349,,POINT (-49.2710466 -25.4298086),highway,traffic_signals
350,,POINT (-49.2773909 -25.4311674),highway,traffic_signals
351,,POINT (-49.2745115 -25.4301482),highway,traffic_signals
352,,POINT (-49.2731475 -25.4305827),highway,traffic_signals
