,name,geom,key,value
149,,POINT (-49.2923107 -25.4761475),amenity,bus_station
150,,POINT (-49.2928619 -25.4759473),amenity,bus_station
151,,POINT (-49.29295 -25.4762005),amenity,bus_station
152,,POINT (-49.2926968 -25.4758963),amenity,bus_station
153,,POINT (-49.2924202 -25.4766254),amenity,bus_station
154,,POINT (-49.2923372 -25.4765997),amenity,bus_station
155,,POINT (-49.2926139 -25.4758707),amenity,bus_station
156,,POINT (-49.2921891 -25.4764726),amenity,bus_station
157,,POINT (-49.292943 -25.4759719),amenity,bus_station
158,,POINT (-49.2928935 -25.4761047),amenity,bus_station
159,,POINT (-49.292943 -25.4761198),amenity,bus_station
160,,POINT (-49.2929148 -25.4761898),amenity,bus_station
161,,POINT (-49.2929214 -25.4761722),amenity,bus_station
162,,POINT (-49.2928649 -25.476155),amenity,bus_station
163,,POINT (-49.2927714 -25.4764057),amenity,bus_station
164,,POINT (-49.2928068 -25.476507),amenity,bus_station
165,,POINT (-49.2928182 -25.4764764),amenity,bus_station
166,,POINT (-49.2927565 -25.4764576),amenity,bus_station
167,,POINT (-49.2928403 -25.4764056),amenity,bus_station
168,,POINT (-49.2928333 -25.4764245),amenity,bus_station
169,,POINT (-49.2928722 -25.4764153),amenity,bus_station
170,,POINT (-49.2925905 -25.4766754),amenity,bus_station
171,,POINT (-49.2924122 -25.4759262),amenity,bus_station
172,,POINT (-49.2924032 -25.4759504),amenity,bus_station
173,,POINT (-49.2924314 -25.475959),amenity,bus_station
174,,POINT (-49.2922345 -25.4764864),amenity,bus_station
175,,POINT (-49.2923951 -25.475921),amenity,bus_station
176,,POINT (-49.2929499 -25.4761012),amenity,bus_station
177,,POINT (-49.3459836 -25.4414547),amenity,bus_station
178,,POINT (-49.3472973 -25.4414736),amenity,bus_station
179,,POINT (-49.3459823 -25.4415291),amenity,bus_station
180,,POINT (-49.347296 -25.441548),amenity,bus_station
181,,POINT (-49.3459634 -25.4416863),amenity,bus_station
182,,POINT (-49.3472568 -25.4417055),amenity,bus_station
183,,POINT (-49.3459619 -25.4417712),amenity,bus_station
184,,POINT (-49.3472553 -25.4417904),amenity,bus_station
185,,POINT (-49.3467545 -25.4415402),amenity,bus_station
186,,POINT (-49.3467508 -25.4416979),amenity,bus_station
187,,POINT (-49.3079114 -25.4362574),amenity,bus_station
188,,POINT (-49.3067756 -25.4355928),amenity,bus_station
189,,POINT (-49.3066589 -25.4358817),amenity,bus_station
190,,POINT (-49.3066913 -25.4358097),amenity,bus_station
191,,POINT (-49.3067418 -25.4356696),amenity,bus_station
192,,POINT (-49.308004 -25.4360494),amenity,bus_station
193,,POINT (-49.307976 -25.436113),amenity,bus_station
194,,POINT (-49.3078759 -25.4363364),amenity,bus_station
195,,POINT (-49.3079896 -25.436082),amenity,bus_station
196,,POINT (-49.3066732 -25.43585),amenity,bus_station
197,,POINT (-49.3077293 -25.4362826),amenity,bus_station
198,,POINT (-49.3073856 -25.4357831),amenity,bus_station
199,,POINT (-49.3072688 -25.4357411),amenity,bus_station
200,,POINT (-49.3072771 -25.4357221),amenity,bus_station
201,,POINT (-49.3073939 -25.4357641),amenity,bus_station
202,,POINT (-49.3072903 -25.4357488),amenity,bus_station
203,,POINT (-49.3073598 -25.4357739),amenity,bus_station
204,,POINT (-49.3072797 -25.4357727),amenity,bus_station
205,,POINT (-49.3073466 -25.4358039),amenity,bus_station
206,,POINT (-49.307833 -25.4359531),amenity,bus_station
207,,POINT (-49.3078122 -25.4359457),amenity,bus_station
208,,POINT (-49.307694 -25.4358976),amenity,bus_station
209,,POINT (-49.3077064 -25.4359021),amenity,bus_station
210,,POINT (-49.3077018 -25.4358799),amenity,bus_station
211,,POINT (-49.3078429 -25.4359307),amenity,bus_station
212,,POINT (-49.3076946 -25.435929),amenity,bus_station
213,,POINT (-49.307799 -25.4359757),amenity,bus_station
214,,POINT (-49.307457 -25.4362056),amenity,bus_station
215,,POINT (-49.3074772 -25.4362129),amenity,bus_station
216,,POINT (-49.3075578 -25.4362425),amenity,bus_station
217,,POINT (-49.3075781 -25.4362499),amenity,bus_station
218,,POINT (-49.3072366 -25.4361241),amenity,bus_station
219,,POINT (-49.30714 -25.4360882),amenity,bus_station
220,,POINT (-49.3071321 -25.4361058),amenity,bus_station
